110,57753595820392
100,2739327339862
103,31667081611299
152,56389561604178
320,87689353235476
112,31734351445249
97,61760712870671
94,84726149715677
96,97452923886486
130,12194668149968
98,95324486084778
109,34122812251185
1002,7379768777683
137,66815484904146
172,64762169144805
87,34241114863832
99,12655331704836
167,9200952120425
222,82090659000946
202,83816447619213
87,33703900491645
138,27204020479502
803,9811662989376
92,30221258657637
91,0349001882147
90,0170188321566
98,46069941279137
334,9356427348219
115,55036988110906
156,89776000907688
91,47429777877475
126,40488528870173
89,40954483426148
315,50660535951863
93,0752447275403
90,67014489003107
111,26111579088024
418,43518186543076
93,48080439808484
109,46087432567239
